objid,ra,dec,z,v_rest
1237667323797504263,194.449426308868,27.7694430488118,0.019283,-1187.873
1237667444048461861,194.450278231522,27.8830574728906,0.019532,-1113.107
1237667324334374981,194.452787511593,28.1804376645757,0.024113,260.188
1237667252945682613,194.457353063062,28.6242593395367,0.025000,526.014
1237667324334374983,194.459317214646,28.1703586697569,0.023076,-50.580
1237667323797569617,194.460665091628,27.6437333523947,0.022719,-157.633
1237667444048461862,194.460980630353,27.8794848237614,0.023174,-21.437
1237667443511591237,194.461481764682,27.490864408106,0.024522,382.974
1237667323797569615,194.467957084075,27.7396342945644,0.023102,-42.770
1237667323797569619,194.471376049855,27.707306287808,0.021513,-519.245
1237665440441892998,194.474743403174,28.4998067687287,0.024360,334.291
1237667443511656452,194.476510958023,27.490632767353,0.016611,-1988.807
1237667323260698698,194.48072586664,27.2320234176602,0.021617,-487.941
1237667443511656538,194.484286363686,27.5813497711346,0.016552,-2006.390
1237667323260698686,194.485514452773,27.3822883973786,0.017385,-1756.693
1237667442974785715,194.486076326311,27.037503631457,0.024718,441.706
1237667443511656555,194.486257748461,27.4426037989638,0.025682,730.583
1237667444048461985,194.486651075931,27.9917515592995,0.015226,-2404.050
1237667324334440540,194.490495431832,28.0617799441622,0.027140,1167.669
1237667443511656590,194.503139521754,27.4539875922619,0.025615,710.644
1237667443511656567,194.50649494591,27.4896658449692,0.025431,655.218
1237667444048527503,194.507132631156,27.853558836155,0.018976,-1279.702
1237667322723827770,194.509924229175,26.8595006257056,0.024524,383.517
1237667444048527492,194.511940568038,27.9783497636871,0.021901,-402.899
1237667322723827758,194.513194298134,26.9159631885312,0.027380,1239.562
1237667444048527371,194.514623585942,27.8149479142084,0.023775,158.759
1237667323797569678,194.514658223815,27.6824484401272,0.024126,264.232
1237667444585332850,194.523281626146,28.2425914978552,0.023988,222.858
1237665440978763955,194.523410237022,29.0173616029541,0.025677,728.949
1237667444585332963,194.524303414621,28.3709584505167,0.025450,660.954
1237667443511656604,194.525268086005,27.41892971181,0.019220,-1206.619
1237667443511656599,194.528442730656,27.5768756438433,0.025007,528.277
1237667253482619004,194.52852747765,29.0345483565527,0.024243,299.326
1237667322723827863,194.529492846493,26.7871165709985,0.024039,237.898
1237667252945748053,194.538440824409,28.7085612120753,0.025368,636.565
1237667443511656611,194.540409601122,27.5494213129074,0.023269,7.235
1237667444048527527,194.546304197759,27.860264491772,0.023359,34.276
1237667444048527520,194.547630285408,27.9399482768898,0.028385,1540.865
1237667444048527531,194.548547795801,27.893662083772,0.019149,-1227.949
1237667443511656621,194.548607378976,27.5424825082509,0.023749,151.081
1237665440978829317,194.555544089457,28.9480984811571,0.025557,693.079
1237667324334440570,194.557508660665,28.1825454071342,0.023951,211.741
1237665440441958487,194.562768369411,28.521782562633,0.023039,-61.852
1237667442974785781,194.564897908485,27.0872176077251,0.025749,750.804
1237667323797569716,194.568852773982,27.8025525900058,0.018994,-1274.342
1237667324334440628,194.572521734764,28.0400797355937,0.020654,-776.650
1237667444048527567,194.575873183531,27.8484888859698,0.025282,610.750
1237667253482618902,194.575994722758,29.1287828496171,0.026327,923.877
1237667323260698733,194.577616216501,27.3108222063476,0.024722,442.723
1237667323797569737,194.579922745252,27.7620674876368,0.018183,-1517.584
1237667252945748097,194.580613982704,28.6985101844268,0.019305,-1181.286
1237667322723893322,194.584483358852,26.9206297850685,0.023054,-57.295
1237667443511656658,194.585544407911,27.4293829416211,0.025156,572.913
1237667324334440636,194.590439499683,28.1487530639571,0.026278,909.215
1237667444048527399,194.590959146639,27.9677800604517,0.020053,-956.858
1237667444048527574,194.591637331313,27.8922832859017,0.024351,331.416
