Object,RA,DEC,z,StellarMass,StellarMassErr,SFR,Radius,SourceCatalog,SepArcsec,zPDF
COS4_08649,150.143492,2.268430,NaN,1.318E+010,0.150,2.884E+001,4.63,COSMOS2015,0.36,0.8641
COS4_08663,150.133025,2.268470,0.9092,1.318E+010,0.150,1.585E+001,4.67,COSMOS2015,0.08,0.9091
COS4_08687,150.162550,2.268090,0.9247,3.890E+009,0.150,5.129E+000,4.88,COSMOS2015,0.01,0.9112
COS4_08775,150.068950,2.269270,2.0487,8.318E+009,0.150,6.310E+001,6.27,COSMOS2015,0.03,1.4339
COS4_08854,150.124937,2.269890,0.5657,2.239E+010,0.150,1.148E-001,3.82,COSMOS2015,0.05,0.9590
COS4_08958,150.137817,2.270640,1.8179,2.089E+010,0.150,2.512E+001,4.34,COSMOS2015,0.08,1.4360
COS4_09044,150.148771,2.272040,1.9803,7.413E+009,0.150,3.311E+001,4.36,COSMOS2015,0.01,2.2029
COS4_09156,150.141221,2.272970,NaN,9.772E+009,0.150,1.995E+001,4.16,COSMOS2015,0.04,0.9419
COS4_09252,150.109588,2.274270,1.8152,4.677E+010,0.150,7.762E+001,5.00,COSMOS2015,0.02,1.5587
COS4_09356,150.138487,2.276590,1.8014,7.943E+010,0.150,2.512E+000,5.29,COSMOS2015,0.06,1.4104
COS4_09601,150.083300,2.278450,1.0614,3.090E+010,0.150,1.072E+001,4.57,COSMOS2015,0.33,0.8300
COS4_09667,150.139788,2.279638,1.8103,1.778E+011,0.150,2.399E+001,6.85,COSMOS2015,0.05,1.5663
COS4_09677,150.142946,2.278510,1.9738,6.761E+010,0.150,2.884E-003,5.20,COSMOS2015,0.05,2.1650
COS4_09745,150.141204,2.279795,1.8179,9.550E+009,0.150,4.365E+001,5.75,COSMOS2015,0.02,1.6479
COS4_09835,150.138100,2.282000,0.7561,1.549E+010,0.150,8.511E+000,7.64,COSMOS2015,0.32,0.8979
COS4_09867,150.087583,2.280380,1.8175,4.074E+010,0.150,2.884E+000,4.74,COSMOS2015,0.06,1.7022
COS4_10048,150.196458,2.283860,1.8215,2.291E+010,0.150,3.162E+001,9.23,COSMOS2015,0.16,1.4580
COS4_10056,150.121371,2.285140,2.0675,3.802E+010,0.150,9.120E+001,6.25,COSMOS2015,0.09,1.9220
COS4_10060,150.119812,2.282510,1.8175,4.677E+009,0.150,1.585E+001,5.14,COSMOS2015,0.03,1.4843
COS4_10344,150.085875,2.285370,1.8152,2.818E+010,0.150,5.248E+001,6.99,COSMOS2015,0.39,1.6738
COS4_10347,150.083442,2.285780,2.6981,4.786E+010,0.150,4.898E+001,5.48,COSMOS2015,0.02,1.8526
COS4_10393,150.117400,2.286300,0.7465,1.122E+010,0.150,1.259E+001,4.52,COSMOS2015,0.12,0.9428
COS4_10538,150.079546,2.287760,0.7201,3.162E+010,0.150,3.020E-002,4.08,COSMOS2015,0.01,0.9285
COS4_10565,150.094237,2.287270,NaN,4.266E+010,0.150,4.786E+001,4.06,COSMOS2015,0.04,2.2011
COS4_10613,150.096604,2.287820,0.5545,2.884E+009,0.150,3.467E+000,4.60,COSMOS2015,0.07,0.9644
COS4_10740,150.149200,2.289200,0.7289,1.047E+009,0.150,3.548E+000,4.27,COSMOS2015,0.05,0.8034
COS4_10750,150.084871,2.289670,1.8152,2.399E+010,0.150,8.710E+000,7.08,COSMOS2015,0.08,1.7263
COS4_10860,150.102800,2.292710,1.0611,3.020E+010,0.150,1.259E+002,6.35,COSMOS2015,0.32,0.9782
COS4_11142,150.073329,2.293290,2.7041,1.000E+011,0.150,2.512E-001,4.35,COSMOS2015,0.06,2.4254
COS4_11333,150.152100,2.296500,0.8109,8.913E+010,0.150,6.310E-001,5.03,COSMOS2015,0.16,0.8566
COS4_11343,150.146879,2.295290,1.7981,6.026E+009,0.150,2.399E+001,5.17,COSMOS2015,0.05,1.6254
COS4_11363,150.119629,2.295950,3.9405,2.344E+011,0.150,6.457E+001,4.96,COSMOS2015,0.27,1.8095
COS4_11456,150.105600,2.297600,0.7030,3.981E+010,0.150,7.943E+001,5.56,COSMOS2015,0.16,0.9360
COS4_11606,150.176925,2.298160,1.8221,6.918E+009,0.150,3.715E+001,5.65,COSMOS2015,0.07,1.6046
COS4_11609,150.177000,2.297790,1.7991,5.012E+008,0.150,2.239E+000,2.14,COSMOS2015,0.17,1.6368
COS4_11696,150.135621,2.298890,1.8228,1.862E+010,0.150,1.995E+001,5.48,COSMOS2015,0.11,1.4394
COS4_11827,150.160262,2.300160,1.7965,2.512E+010,0.150,6.026E+001,5.11,COSMOS2015,0.07,1.4380
COS4_12056,150.130033,2.302700,1.8179,4.266E+009,0.150,1.259E+001,5.84,COSMOS2015,0.16,1.5255
COS4_12057,150.133637,2.302810,2.7901,4.786E+010,0.150,2.455E+000,4.62,COSMOS2015,0.08,1.4894
COS4_12148,150.118746,2.302690,1.9897,1.514E+010,0.150,3.548E+001,4.16,COSMOS2015,0.04,2.5198
COS4_12157,150.189242,2.302880,1.8208,3.802E+009,0.150,1.445E+001,4.53,COSMOS2015,0.05,1.4261
COS4_12470,150.100500,2.308000,0.7446,1.738E+010,0.150,1.905E+001,6.79,COSMOS2015,0.11,0.9365
COS4_12476,150.115158,2.306880,1.4081,9.120E+009,0.150,3.981E+001,4.91,COSMOS2015,0.05,1.4880
COS4_12497,150.115663,2.306510,1.8149,5.012E+009,0.150,1.096E+001,4.70,COSMOS2015,0.07,1.4841
COS4_12577,150.134350,2.307320,1.9768,2.884E+010,0.150,3.631E+001,4.65,COSMOS2015,0.06,2.3454
COS4_12633,150.167800,2.314100,0.7898,1.862E+010,0.150,3.020E+001,8.22,COSMOS2015,0.09,0.9130
COS4_12656,150.126021,2.308050,1.8175,3.020E+010,0.150,2.630E+001,5.25,COSMOS2015,0.10,1.8169
COS4_12699,150.087675,2.310690,0.5531,8.128E+010,0.150,3.090E+001,5.19,COSMOS2015,0.04,0.9594
COS4_12782,150.125000,2.310300,0.7398,8.318E+009,0.150,1.288E+001,5.44,COSMOS2015,0.02,0.9014
COS4_12883,150.129700,2.311300,0.5550,4.467E+010,0.150,1.995E+000,4.26,COSMOS2015,0.03,0.8257
COS4_12891,150.164808,2.310910,1.7994,3.467E+009,0.150,8.318E+000,4.95,COSMOS2015,0.06,1.4425
COS4_12995,150.099700,2.311810,1.9730,8.913E+010,0.150,1.122E+002,4.40,COSMOS2015,0.02,2.2686
COS4_13038,150.177229,2.313040,1.8198,1.905E+010,0.150,1.778E+001,6.00,COSMOS2015,0.05,1.4543
COS4_13084,150.164917,2.313030,0.7380,1.349E+009,0.150,3.311E+000,4.01,COSMOS2015,0.03,0.8971
COS4_13174,150.112229,2.313970,2.7892,7.586E+010,0.150,2.344E+002,5.60,COSMOS2015,0.10,2.2765
COS4_13527,150.085008,2.317300,1.0625,2.138E+009,0.150,3.548E+000,5.50,COSMOS2015,0.06,0.9668
