Object,z,SNR,Inclination,Vmax,VelocitySpan,gdagger_m_s2,gdagger_err_m_s2,log_gdagger,log_err_dex,Npoints,Class,Constrained
COS4_19680,1.9768,12.7,35.6,234.7,423,1.000E-013,9.000E-013,-13.00,1.00,8,usable,0
COS4_05706,1.9721,15.7,35.2,401.2,777,1.148E-010,7.573E-011,-9.94,0.22,13,usable,1
COS4_19753,1.9734,16.3,35.4,163.9,259,1.000E-013,9.000E-013,-13.00,1.00,12,usable,0
COS4_12995,1.9730,14.4,34.6,333.4,777,1.000E-008,9.000E-008,-8.00,1.00,10,usable,0
COS4_16501,1.7511,13.1,33.9,250.7,753,2.884E-010,1.190E-010,-9.54,0.15,8,usable,1
COS4_17600,1.9798,12.7,34.0,260.0,775,6.607E-009,2.513E-009,-8.18,0.14,8,usable,0
COS4_24763,1.9700,10.3,33.4,176.2,518,5.495E-013,4.946E-012,-12.26,1.00,13,usable,0
COS4_08854,0.5657,16.3,32.5,108.9,559,3.311E-009,1.054E-009,-8.48,0.12,9,usable,0
COS4_15820,1.9734,11.5,32.1,64.1,259,2.754E-010,1.048E-010,-9.56,0.14,10,usable,1
COS4_12577,1.9768,14.0,31.8,365.8,948,1.000E-008,9.000E-008,-8.00,1.00,7,usable,0
COS4_19499,3.9169,12.4,30.9,311.7,216,5.754E-010,2.008E-010,-9.24,0.13,9,usable,1
COS4_22995,1.9897,12.0,29.6,58.1,257,1.000E-013,9.000E-013,-13.00,1.00,8,marginal,0
COS4_05415,1.9815,18.4,28.8,199.0,237,3.162E-010,1.409E-010,-9.50,0.16,7,marginal,1
COS4_16609,1.9713,14.1,28.2,48.8,928,1.000E-008,9.000E-008,-8.00,1.00,10,marginal,0
COS4_26659,0.5526,13.9,28.1,622.0,670,7.943E-009,2.057E-009,-8.10,0.10,12,marginal,0
COS4_14160,0.7353,11.7,26.2,311.1,623,1.202E-010,7.032E-011,-9.92,0.20,7,marginal,1
COS4_02887,1.9721,14.0,25.5,50.4,259,5.248E-011,1.996E-011,-10.28,0.14,12,marginal,1
COS4_09677,1.9738,16.0,25.4,231.2,65,3.981E-011,3.962E-011,-10.40,0.30,8,marginal,1
COS4_02167,0.8274,9.4,29.9,263.1,88,1.000E-013,9.000E-013,-13.00,1.00,10,marginal,0
COS4_01351,1.0652,9.0,25.0,99.6,606,3.020E-009,1.345E-009,-8.52,0.16,6,marginal,1
COS4_11363,3.9405,8.0,29.2,145.5,1156,1.380E-009,6.614E-010,-8.86,0.17,7,marginal,1
